pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist
51 Peg b,51 Peg,Radial Velocity,1995,4.2308,nan,150.009,nan,5758.0,15.461
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,nan,565.737,nan,5750.0,21.14
47 UMa b,47 UMa,Radial Velocity,1996,1078.0,nan,804.08,nan,5872.0,13.797
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6516,nan,276.0,nan,5198.0,12.586
70 Vir b,70 Vir,Radial Velocity,1996,116.688,nan,2357.027,nan,5495.0,17.901
tau Boo b,tau Boo,Radial Velocity,1996,3.3125,nan,1373.026,nan,6466.3,15.652
HD 187123 b,HD 187123,Radial Velocity,1998,3.0966,nan,166.218,nan,5790.0,45.955
HD 195019 b,HD 195019,Radial Velocity,1998,18.2013,nan,1264.963,nan,5751.0,37.668
HD 210277 b,HD 210277,Radial Velocity,1998,442.19,nan,410.001,nan,5538.0,21.298
GJ 86 b,GJ 86,Radial Velocity,1999,15.7649,nan,1404.809,nan,5182.0,10.784
HD 130322 b,HD 130322,Radial Velocity,1999,10.7087,nan,365.49,nan,5387.0,31.877
HD 134987 b,HD 134987,Radial Velocity,1999,258.18,nan,511.706,nan,5736.0,26.18
HD 177830 b,HD 177830,Radial Velocity,1999,410.1,nan,537.133,nan,4901.0,62.767
HD 192263 b,HD 192263,Radial Velocity,1999,24.3556,nan,177.985,nan,4976.0,19.636
HD 209458 b,HD 209458,Radial Velocity,1999,3.5247,15.581,232.016,nan,6091.0,48.302
HD 222582 b,HD 222582,Radial Velocity,1999,572.38,nan,2660.237,nan,5790.0,42.159
HD 75289 b,HD 75289,Radial Velocity,1999,3.5093,nan,155.737,nan,6117.0,29.116
HD 89744 b,HD 89744,Radial Velocity,1999,256.78,nan,2653.88,nan,6291.0,38.636
HR 810 b,HR 810,Radial Velocity,1999,302.8,nan,721.474,nan,6167.0,17.318
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.4878,nan,187.52,nan,5393.0,84.407
GJ 3021 b,GJ 3021,Radial Velocity,2000,133.71,nan,1071.04,350.0,5540.0,17.556
HD 12661 b,HD 12661,Radial Velocity,2000,262.7086,nan,772.327,nan,5645.0,37.848
HD 160691 b,HD 160691,Radial Velocity,2000,645.0,nan,1366.662,nan,5773.0,15.598
HD 16141 b,HD 16141,Radial Velocity,2000,75.523,nan,82.636,nan,5757.0,37.786
HD 179949 b,HD 179949,Radial Velocity,2000,3.0925,nan,291.12,nan,6168.0,27.457
HD 27442 b,HD 27442,Radial Velocity,2000,428.1,nan,495.8,nan,4846.0,18.27
HD 46375 b,HD 46375,Radial Velocity,2000,3.0236,nan,71.8,nan,5285.0,29.553
HD 52265 b,HD 52265,Radial Velocity,2000,119.27,nan,384.574,nan,6136.0,29.98
HD 92788 b,HD 92788,Radial Velocity,2000,325.803,nan,1195.041,nan,5744.0,34.654
47 UMa c,47 UMa,Radial Velocity,2001,2391.0,nan,171.621,nan,5872.0,13.797
HD 114783 b,HD 114783,Radial Velocity,2001,493.7,nan,349.6,nan,5135.0,21.063
HD 178911 B b,HD 178911 B,Radial Velocity,2001,71.484,nan,2552.175,nan,5588.0,40.973
HD 213240 b,HD 213240,Radial Velocity,2001,882.7,nan,1773.491,nan,5979.0,40.871
HD 23079 b,HD 23079,Radial Velocity,2001,735.74,nan,845.424,nan,5994.0,33.459
HD 28185 b,HD 28185,Radial Velocity,2001,385.92,nan,1859.296,nan,5602.0,39.381
HD 39091 b,HD 39091,Radial Velocity,2001,2088.8,nan,4481.381,nan,5998.0,18.27
HD 4203 b,HD 4203,Radial Velocity,2001,431.88,nan,708.761,nan,5596.0,81.38
HD 4208 b,HD 4208,Radial Velocity,2001,832.97,nan,257.442,nan,5717.0,34.194
HD 68988 b,HD 68988,Radial Velocity,2001,6.2771,nan,626.125,nan,5932.0,60.845
HD 80606 b,HD 80606,Radial Velocity,2001,111.4368,11.568,1323.469,nan,5565.0,66.471
55 Cnc d,55 Cnc,Radial Velocity,2002,4799.0,nan,1214.105,nan,5198.0,12.586
HD 108147 b,HD 108147,Radial Velocity,2002,10.8985,nan,82.95,nan,6255.7,38.92
HD 108874 b,HD 108874,Radial Velocity,2002,394.4812,nan,451.319,nan,5600.0,59.518
HD 114729 b,HD 114729,Radial Velocity,2002,1121.79,nan,262.21,nan,5844.0,37.806
HD 12661 c,HD 12661,Radial Velocity,2002,1708.0,nan,575.884,nan,5748.0,37.848
HD 141937 b,HD 141937,Radial Velocity,2002,653.22,nan,3079.773,nan,5870.0,33.362
HD 162020 b,HD 162020,Radial Velocity,2002,8.4282,nan,3127.447,nan,4723.0,30.825
HD 168746 b,HD 168746,Radial Velocity,2002,6.404,nan,85.814,nan,5570.0,41.568
HD 2039 b,HD 2039,Radial Velocity,2002,1120.0,nan,1999.151,nan,5945.0,85.692
HD 216435 b,HD 216435,Radial Velocity,2002,1311.0,nan,400.4,nan,5999.0,32.983
HD 40979 b,HD 40979,Radial Velocity,2002,264.15,nan,1484.266,nan,6165.0,34.088
HD 47536 b,HD 47536,Radial Velocity,2002,712.13,nan,2330.0,nan,4380.0,122.536
HD 49674 b,HD 49674,Radial Velocity,2002,4.9474,nan,31.783,nan,5602.0,43.04
HD 50554 b,HD 50554,Radial Velocity,2002,1293.0,nan,1574.464,nan,5987.0,31.166
HD 72659 b,HD 72659,Radial Velocity,2002,3549.0,nan,906.129,nan,5929.0,51.895
HD 73526 b,HD 73526,Radial Velocity,2002,188.3,nan,978.916,nan,5601.0,97.24
